プール,部位,名称,対象,帯,帯開始,帯終了,ATK,HP,MP,STR,DEX,VIT,AGI,INT,MND,特殊効果,効果量,効果ID,備考
ドロップ,武器,オニオンアクス,戦士,1,1,50,9,,,4,,,,,,,,,
ドロップ,武器,オニオンナックル,モンク,1,1,50,6,,,3,,2,,,,,,,
ドロップ,武器,オニオンポール,白魔道士,1,1,50,4,,,,,,,,6,,,,
ドロップ,武器,オニオンロッド,黒魔道士,1,1,50,3,,,,,,,6,,,,,
ドロップ,武器,オニオンソード,赤魔道士,1,1,50,7,,,2,,,,2,2,,,,
ドロップ,武器,オニオンダガー,シーフ,1,1,50,6,,,,4,,2,,,,,,
ドロップ,鎧,オニオンメイル,重量,1,1,50,,70,,,,5,,,,,,,
ドロップ,脚,オニオンサブリガ,重量,1,1,50,,40,,,,3,,,,,,,
ドロップ,鎧,オニオンローブ,魔道士,1,1,50,,35,15,,,,,2,2,,,,
ドロップ,脚,オニオンスロップス,魔道士,1,1,50,,20,10,,,,2,,2,,,,
ドロップ,鎧,オニオンベスト,軽量,1,1,50,,50,,,2,4,,,,,,,
ドロップ,脚,オニオントラウザ,軽量,1,1,50,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,オニオンリング,全ジョブ,1,1,50,,20,10,2,2,2,2,2,2,,,,
ドロップ,武器,ブロンズアクス,戦士,2,51,100,9,,,4,,,,,,,,,
ドロップ,武器,ブロンズナックル,モンク,2,51,100,6,,,3,,2,,,,,,,
ドロップ,武器,ブロンズポール,白魔道士,2,51,100,4,,,,,,,,6,,,,
ドロップ,武器,ブロンズロッド,黒魔道士,2,51,100,3,,,,,,,6,,,,,
ドロップ,武器,ブロンズソード,赤魔道士,2,51,100,7,,,2,,,,2,2,,,,
ドロップ,武器,ブロンズダガー,シーフ,2,51,100,6,,,,4,,2,,,,,,
ドロップ,鎧,ブロンズメイル,重量,2,51,100,,70,,,,5,,,,,,,
ドロップ,脚,ブロンズサブリガ,重量,2,51,100,,40,,,,3,,,,,,,
ドロップ,鎧,ブロンズローブ,魔道士,2,51,100,,35,15,,,,,2,2,,,,
ドロップ,脚,ブロンズスロップス,魔道士,2,51,100,,20,10,,,,2,,2,,,,
ドロップ,鎧,ブロンズベスト,軽量,2,51,100,,50,,,2,4,,,,,,,
ドロップ,脚,ブロンズトラウザ,軽量,2,51,100,,30,,,2,,3,,,,,,
ドロップ,アクセサリ,ブロンズリング,全ジョブ,2,51,100,,20,10,2,2,2,2,2,2,,,,
